Universal ACDC v.1.38
importing alife objects...
importing alife objects from file alife_l07_military.ltx...
team 0, squad 5, group 4, monach
team 0, squad 5, group 4, mil_klyak
team 0, squad 5, group 4, mil_osvedomitel
team 0, squad 5, group 4, mil_komandir_sidorchuk
team 0, squad 5, group 4, mil_barier_one
team 0, squad 5, group 4, mil_barier_two
team 0, squad 5, group 4, mil_barier_tri
team 0, squad 5, group 4, mil_barier_four
team 0, squad 5, group 4, dark_komandir_belchuk
team 0, squad 5, group 4, mil_soldat_one
team 0, squad 5, group 4, mil_soldat_two
team 0, squad 5, group 4, mil_soldat_tri
team 0, squad 5, group 4, mil_soldat_four
team 0, squad 5, group 4, mil_soldat_five
team 0, squad 5, group 4, mil_lucash
team 0, squad 5, group 4, mil_master_max
team 0, squad 5, group 4, mil_blockpost_leader
team 0, squad 5, group 4, mil_master_ugrumiy
team 0, squad 5, group 4, mil_cook
team 0, squad 5, group 4, mil_boec1
team 0, squad 5, group 4, mil_boec2
team 0, squad 5, group 4, mil_boec3
team 0, squad 5, group 4, mil_boec4
team 0, squad 5, group 4, mil_boec5
team 0, squad 5, group 4, mil_stukach
team 0, squad 5, group 4, mil_engineer
team 0, squad 5, group 4, mil_trader
team 0, squad 0, group 0, mil_m_crow
team 0, squad 0, group 0, mil_m_crow0000
team 0, squad 0, group 0, mil_m_crow0001
team 0, squad 0, group 0, mil_m_crow0002
team 0, squad 0, group 0, mil_m_crow0003
team 0, squad 0, group 0, mil_m_crow0004
team 0, squad 0, group 0, mil_m_crow0005
team 0, squad 0, group 0, mil_m_crow0006
team 0, squad 0, group 0, mil_m_crow0007
team 0, squad 0, group 0, mil_m_crow0008
team 0, squad 0, group 0, mil_m_crow0009
team 0, squad 0, group 0, mil_m_crow0010
team 0, squad 0, group 0, mil_m_crow0011
team 0, squad 0, group 0, mil_m_crow0012
team 0, squad 0, group 0, mil_m_crow0013
team 0, squad 0, group 0, mil_m_crow0014
team 0, squad 0, group 0, mil_m_crow0015
team 0, squad 0, group 0, mil_m_crow0016
team 0, squad 0, group 0, mil_m_crow0017
team 0, squad 0, group 0, mil_m_crow0018
team 0, squad 0, group 0, mil_m_crow0019
team 0, squad 0, group 0, mil_m_crow0020
team 0, squad 0, group 0, mil_m_crow0021
team 0, squad 0, group 0, mil_m_crow0022
team 0, squad 0, group 0, mil_m_crow0023
team 0, squad 0, group 0, mil_m_crow0024
team 0, squad 0, group 0, mil_m_crow0025
team 0, squad 0, group 0, mil_m_crow0026
team 0, squad 0, group 0, mil_m_crow0027
team 0, squad 0, group 0, mil_m_crow0028
team 0, squad 0, group 0, mil_m_crow0029
team 0, squad 0, group 0, mil_m_crow0030
team 0, squad 0, group 0, mil_m_crow0031
team 0, squad 0, group 0, mil_m_crow0032
team 0, squad 0, group 0, mil_m_crow0033
team 0, squad 0, group 0, mil_m_crow0034
team 0, squad 0, group 0, mil_m_crow0035
team 0, squad 0, group 0, mil_stalker_0001
team 0, squad 0, group 0, mil_bloodsucker_normal
team 0, squad 0, group 0, mil_boar_strong
team 0, squad 0, group 0, mil_boar_strong_0000
team 0, squad 0, group 0, mil_pseudodog_normal
team 0, squad 0, group 0, mil_pseudodog_strong
team 0, squad 0, group 0, mil_boar_normal
team 0, squad 0, group 0, mil_boar_strong_0002
team 0, squad 0, group 0, mil_boar_strong_0003
team 0, squad 0, group 0, mil_pseudodog_strong_0000
team 0, squad 0, group 0, mil_pseudodog_strong_0001
team 0, squad 0, group 0, mil_stalker_0004
team 9, squad 2, group 1, mil_m_bloodsucker_e
team 9, squad 2, group 2, mil_m_bloodsucker_e_0000
team 9, squad 2, group 3, mil_m_bloodsucker_e_0001
team 9, squad 2, group 4, mil_m_bloodsucker_normal_0000
importing alife objects from file alife_l05_bar.ltx...
team 0, squad 5, group 4, garbage_knyaz
team 0, squad 5, group 4, bar_nad1
team 0, squad 5, group 4, bar_nad2
team 0, squad 5, group 4, bar_nad3
team 0, squad 5, group 4, esc_koha
team 0, squad 5, group 4, esc_cherv
team 0, squad 5, group 4, stalker_xutor
team 0, squad 5, group 4, esc_new_wound
team 0, squad 5, group 4, esc_saha
team 0, squad 0, group 0, bar_barman
team 0, squad 5, group 1, bar_m_dog_e_0000
team 0, squad 5, group 1, bar_m_dog_e_0001
team 0, squad 5, group 1, bar_m_dog_e_0003
team 0, squad 5, group 1, bar_m_dog_e_0005
team 0, squad 5, group 1, bar_m_dog_e_0007
team 0, squad 5, group 1, bar_m_pseudodog_e
team 0, squad 5, group 1, bar_m_pseudodog_e_0000
team 0, squad 5, group 1, bar_m_dog_e_0009
team 0, squad 5, group 1, bar_m_dog_e_0010
team 0, squad 5, group 1, bar_m_dog_e_0011
team 0, squad 5, group 1, bar_m_dog_e_0012
team 0, squad 5, group 1, bar_m_dog_e_0013
team 0, squad 5, group 1, bar_m_dog_e_0014
team 0, squad 5, group 1, bar_m_dog_e_0015
team 0, squad 5, group 1, bar_m_dog_e_0016
team 0, squad 5, group 1, bar_m_dog_e_0017
team 0, squad 5, group 1, bar_m_dog_e_0018
team 0, squad 0, group 0, bar_m_crow
team 0, squad 0, group 0, bar_m_crow_0000
team 0, squad 0, group 0, bar_m_crow_0001
team 0, squad 0, group 0, bar_m_crow_0002
team 0, squad 0, group 0, bar_m_crow_0003
team 0, squad 0, group 0, bar_m_crow_0004
team 0, squad 0, group 0, bar_m_crow_0005
team 0, squad 0, group 0, bar_m_crow_0006
team 0, squad 0, group 0, bar_m_crow_0007
team 0, squad 0, group 0, bar_m_crow_0008
team 0, squad 0, group 0, bar_m_crow_0009
team 0, squad 0, group 0, bar_m_crow_0010
team 0, squad 0, group 0, bar_m_crow_0011
team 0, squad 0, group 0, bar_m_crow_0012
team 0, squad 0, group 0, bar_m_crow_0013
team 0, squad 0, group 0, bar_m_crow_0014
team 0, squad 0, group 0, bar_m_crow_0015
team 0, squad 5, group 1, bar_m_dog_e_0019
team 0, squad 5, group 1, bar_m_dog_e_0020
team 0, squad 5, group 1, bar_m_dog_e_0021
team 0, squad 5, group 1, bar_m_pseudodog_e_0001
team 0, squad 5, group 4, plichko
team 0, squad 5, group 4, dolg_attak7
team 0, squad 5, group 4, dolg_attak8
team 0, squad 5, group 4, voronin
team 0, squad 0, group 0, barman_old
team 0, squad 5, group 4, barman_dolg
importing alife objects from file alife_dead_city.ltx...
team 0, squad 0, group 0, level_prefix_actor_0001
team 0, squad 5, group 4, lesnik
team 0, squad 5, group 4, postovoy
team 0, squad 5, group 4, leila
team 0, squad 5, group 4, skit_demon
team 0, squad 5, group 4, grig
importing alife objects from file alife_l12u_control_monolith.ltx...
team 0, squad 0, group 17, mon_stalker
team 0, squad 0, group 0, kon_kontr_strong1
team 0, squad 0, group 0, kon_kontr_strong2
importing alife objects from file alife_l02_garbage.ltx...
team 0, squad 5, group 4, atp_barman
team 0, squad 5, group 4, esc_krest_bratok
team 0, squad 5, group 4, esc_krest_ohr1
team 0, squad 5, group 4, razbor_ban1
team 0, squad 5, group 4, razbor_ban2
team 0, squad 5, group 4, razbor_ban3
team 0, squad 5, group 4, razbor_ban4
team 0, squad 5, group 4, razbor_ban5
team 0, squad 5, group 4, garbage_stalker_wound
team 0, squad 0, group 0, gar_m_crow
team 0, squad 0, group 0, gar_m_crow_0000
team 0, squad 0, group 0, gar_m_crow_0001
team 0, squad 0, group 0, gar_m_crow_0002
team 0, squad 0, group 0, gar_m_crow_0003
team 0, squad 0, group 0, gar_m_crow_0004
